id,dealer_id,make,model,variant,price_eur_cents,year,mileage_km,fuel_type,transmission,body_type,power_kw,color,equipment,description,status,created_at
20000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,Volkswagen,Golf,1.5 TSI Life,1899000,2021,62000,petrol,automatic,hatchback,110,black,"[""adaptive cruise control"", ""navigation"", ""parking sensors"", ""heated seats""]","2021 Volkswagen Golf 1.5 TSI Life in black. The vehicle has 62,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, parking sensors, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000002,Volkswagen,Golf,2.0 TDI Style,1995000,2020,77000,diesel,automatic,hatchback,110,silver,"[""adaptive cruise control"", ""LED headlights"", ""rear camera"", ""lane assist""]","2020 Volkswagen Golf 2.0 TDI Style in silver. The vehicle has 77,000 km, a diesel powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, LED headlights, rear camera, lane assist. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000005,Volkswagen,Golf,1.0 TSI,1749000,2020,83000,petrol,manual,hatchback,81,blue,"[""navigation"", ""parking sensors"", ""Apple CarPlay""]","2020 Volkswagen Golf 1.0 TSI in blue. The vehicle has 83,000 km, a petrol powertrain and manual transmission. Highlighted equipment: navigation, parking sensors, Apple CarPlay. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000003,Volkswagen,Golf,GTE,2499000,2022,41000,plug-in hybrid,automatic,hatchback,180,white,"[""adaptive cruise control"", ""navigation"", ""heated seats"", ""rear camera""]","2022 Volkswagen Golf GTE in white. The vehicle has 41,000 km, a plug-in hybrid powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, heated seats, rear camera. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000001,Volkswagen,Golf,1.5 eTSI R-Line,2899000,2023,19000,mild hybrid,automatic,hatchback,110,grey,"[""panoramic roof"", ""matrix LED"", ""adaptive cruise control"", ""sports seats""]","2023 Volkswagen Golf 1.5 eTSI R-Line in grey. The vehicle has 19,000 km, a mild hybrid powertrain and automatic transmission. Highlighted equipment: panoramic roof, matrix LED, adaptive cruise control, sports seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000004,BMW,3 Series,320i Sport Line,2790000,2020,59000,petrol,automatic,sedan,135,black,"[""navigation"", ""parking sensors"", ""heated seats"", ""cruise control""]","2020 BMW 3 Series 320i Sport Line in black. The vehicle has 59,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: navigation, parking sensors, heated seats, cruise control. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000002,BMW,3 Series,320d Touring,2945000,2021,71000,diesel,automatic,estate,140,blue,"[""adaptive cruise control"", ""tow bar"", ""navigation"", ""rear camera""]","2021 BMW 3 Series 320d Touring in blue. The vehicle has 71,000 km, a diesel powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, tow bar, navigation, rear camera. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000004,BMW,3 Series,330e,3299000,2022,46000,plug-in hybrid,automatic,sedan,215,white,"[""head-up display"", ""navigation"", ""heated seats"", ""parking assistant""]","2022 BMW 3 Series 330e in white. The vehicle has 46,000 km, a plug-in hybrid powertrain and automatic transmission. Highlighted equipment: head-up display, navigation, heated seats, parking assistant. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000001,Audi,A4,35 TFSI Advanced,2699000,2021,52000,petrol,automatic,sedan,110,grey,"[""virtual cockpit"", ""navigation"", ""parking sensors"", ""heated seats""]","2021 Audi A4 35 TFSI Advanced in grey. The vehicle has 52,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: virtual cockpit, navigation, parking sensors, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000004,Audi,A4,40 TDI Avant,3199000,2022,61000,diesel,automatic,estate,150,black,"[""adaptive cruise control"", ""matrix LED"", ""tow bar"", ""rear camera""]","2022 Audi A4 40 TDI Avant in black. The vehicle has 61,000 km, a diesel powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, matrix LED, tow bar, rear camera. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
